title_1|title_2|label
Evaluation measures for text summarization|Text summarization with pretrained encoders|1
Evaluation measures for text summarization|A dataset and benchmark for large-scale multi-modal face anti-spoofing|0
[PDF][PDF] Automatic text summarization|SUMMAC: a text summarization evaluation|1
[PDF][PDF] Automatic text summarization|An Approach for Target Detection and Extraction Based on Biological Vision.|0
[PDF][PDF] A survey of text summarization extractive techniques|[BOOK][B] Advances in automatic text summarization|1
[PDF][PDF] A survey of text summarization extractive techniques|Statistical machine translation|0
Automatic text summarization: Past, present and future|Text summarization using unsupervised deep learning|1
Automatic text summarization: Past, present and future|[PDF][PDF] How does the brain solve visual object recognition?|0
SUMMAC: a text summarization evaluation|Improving abstraction in text summarization|1
SUMMAC: a text summarization evaluation|Face anti-spoofing with multifeature videolet aggregation|0
[BOOK][B] Automatic text summarization|SUMMAC: a text summarization evaluation|1
[BOOK][B] Automatic text summarization|Searching central difference convolutional networks for face anti-spoofing|0
Text summarization techniques: a brief survey|Wikihow: A large scale text summarization dataset|1
Text summarization techniques: a brief survey|What is the best multi-stage architecture for object recognition?|0
[PDF][PDF] A survey on automatic text summarization|SUMMAC: a text summarization evaluation|1
[PDF][PDF] A survey on automatic text summarization|Visual object recognition|0
A new approach to unsupervised text summarization|[PDF][PDF] Automatic text summarization (the state of the art 2007 and new challenges)|1
A new approach to unsupervised text summarization|Three-dimensional face recognition|0
A survey of automatic text summarization: Progress, process and challenges|[PDF][PDF] A comprehensive survey on text summarization systems|1
A survey of automatic text summarization: Progress, process and challenges|Face recognition in subspaces|0
Automatic text summarization using a machine learning approach|A new approach to unsupervised text summarization|1
Automatic text summarization using a machine learning approach|Face recognition from long-term observations|0
Text summarization from legal documents: a survey|A survey of automatic text summarization: Progress, process and challenges|1
Text summarization from legal documents: a survey|Bio-inspired vision|0
[PDF][PDF] A comprehensive survey on text summarization systems|SUMMAC: a text summarization evaluation|1
[PDF][PDF] A comprehensive survey on text summarization systems|Color-based object recognition|0
Re-evaluating evaluation in text summarization|Automatic text summarization: A comprehensive survey|1
Re-evaluating evaluation in text summarization|Efficientdet: Scalable and efficient object detection|0
Improving abstraction in text summarization|Text summarization from legal documents: a survey|1
Improving abstraction in text summarization|[PDF][PDF] Named entity recognition using an HMM-based chunk tagger|0
Text summarization using unsupervised deep learning|Recent automatic text summarization techniques: a survey|1
Text summarization using unsupervised deep learning|Statistical machine translation|0
A survey on extractive text summarization|Automatic text summarization using a machine learning approach|1
A survey on extractive text summarization|Scale-transferrable object detection|0
Wikihow: A large scale text summarization dataset|A survey of automatic text summarization: Progress, process and challenges|1
Wikihow: A large scale text summarization dataset|Joint sentiment/topic model for sentiment analysis|0
Automatic text summarization: What has been done and what has to be done|[PDF][PDF] A survey of text summarization extractive techniques|1
Automatic text summarization: What has been done and what has to be done|A survey on sentiment analysis methods and approach|0
Statistical machine translation|Dual learning for machine translation|1
Statistical machine translation|On the effectiveness of local binary patterns in face anti-spoofing|0
[BOOK][B] Statistical machine translation|[PDF][PDF] Machine translation approaches: issues and challenges|1
[BOOK][B] Statistical machine translation|Features and their configuration in face recognition|0
[PDF][PDF] A statistical approach to machine translation|[PDF][PDF] Machine translation: A concise history|1
[PDF][PDF] A statistical approach to machine translation|[BOOK][B] Sentiment analysis: Mining opinions, sentiments, and emotions|0
[BOOK][B] Machine translation|[PDF][PDF] A survey of machine translation: Its history, current status and future prospects|1
[BOOK][B] Machine translation|Visual object recognition: do we know more now than we did 20 years ago?|0
Neural machine translation: A review|[PDF][PDF] Machine translation: A concise history|1
Neural machine translation: A review|Sentiment embeddings with applications to sentiment analysis|0
Google's neural machine translation system: Bridging the gap between human and machine translation|[BOOK][B] Statistical machine translation|1
Google's neural machine translation system: Bridging the gap between human and machine translation|Object recognition testing: statistical considerations|0
Neural machine translation by jointly learning to align and translate|[BOOK][B] Machine translation|1
Neural machine translation by jointly learning to align and translate|Comparing and combining sentiment analysis methods|0
Machine translation|Neural machine translation advised by statistical machine translation|1
Machine translation|[PDF][PDF] Named entity recognition: A literature survey|0
Machine translation: A brief history|[BOOK][B] Translation engines: techniques for machine translation|1
Machine translation: A brief history|[PDF][PDF] Automatic text summarization|0
Approaches to machine translation|Unsupervised neural machine translation|1
Approaches to machine translation|Unitbox: An advanced object detection network|0
[PDF][PDF] Statistical machine translation|Machine translation|1
[PDF][PDF] Statistical machine translation|[PDF][PDF] Robust real-time object detection|0
[BOOK][B] Machine translation|Statistical machine translation|1
[BOOK][B] Machine translation|Topic modelling meets deep neural networks: A survey|0
Dual learning for machine translation|[PDF][PDF] A survey of machine translation: Its history, current status and future prospects|1
Dual learning for machine translation|[PDF][PDF] Named entity recognition approaches|0
[BOOK][B] Neural machine translation|[PDF][PDF] A survey of machine translation: Its history, current status and future prospects|1
[BOOK][B] Neural machine translation|[BOOK][B] Automatic text summarization|0
[PDF][PDF] Machine translation: A concise history|[PDF][PDF] A statistical approach to machine translation|1
[PDF][PDF] Machine translation: A concise history|Applications of topic models|0
[BOOK][B] Translation engines: techniques for machine translation|[BOOK][B] Machine translation|1
[BOOK][B] Translation engines: techniques for machine translation|[PDF][PDF] A survey of text summarization extractive techniques|0
[PDF][PDF] Grammatical machine translation|Neural machine translation with reconstruction|1
[PDF][PDF] Grammatical machine translation|How biological vision succeeds in the physical world|0
Unsupervised neural machine translation|Machine translation|1
Unsupervised neural machine translation|Face recognition using laplacianfaces|0
Neural machine translation in linear time|[PDF][PDF] A statistical approach to machine translation|1
Neural machine translation in linear time|A survey of multimodal sentiment analysis|0
[PDF][PDF] Machine translation approaches: issues and challenges|[PDF][PDF] The LRC machine translation system|1
[PDF][PDF] Machine translation approaches: issues and challenges|Learning meta pattern for face anti-spoofing|0
Google's multilingual neural machine translation system: Enabling zero-shot translation|Neural machine translation by jointly learning to align and translate|1
Google's multilingual neural machine translation system: Enabling zero-shot translation|Face recognition: A literature survey|0
[PDF][PDF] The LRC machine translation system|Dual learning for machine translation|1
[PDF][PDF] The LRC machine translation system|Text summarization using unsupervised deep learning|0
[BOOK][B] Machine translation: Its scope and limits|[BOOK][B] Machine translation: Its scope and limits|1
[BOOK][B] Machine translation: Its scope and limits|A survey on recent advances in named entity recognition from deep learning models|0
Making sense of neural machine translation|[PDF][PDF] A survey of machine translation: Its history, current status and future prospects|1
Making sense of neural machine translation|[HTML][HTML] Sentiment analysis using product review data|0
Neural machine translation with reconstruction|Unsupervised neural machine translation|1
Neural machine translation with reconstruction|Face recognition methods & applications|0
Neural machine translation advised by statistical machine translation|[BOOK][B] Machine translation|1
Neural machine translation advised by statistical machine translation|Topic modeling: a comprehensive review|0
Learning to translate in real-time with neural machine translation|Google's multilingual neural machine translation system: Enabling zero-shot translation|1
Learning to translate in real-time with neural machine translation|[BOOK][B] Advances in automatic text summarization|0
Is machine translation ready yet?|[BOOK][B] Machine translation: Its scope and limits|1
Is machine translation ready yet?|HFirst: A temporal approach to object recognition|0
[PDF][PDF] A survey of machine translation: Its history, current status and future prospects|Making sense of neural machine translation|1
[PDF][PDF] A survey of machine translation: Its history, current status and future prospects|On the effectiveness of local binary patterns in face anti-spoofing|0
[HTML][HTML] Smart literature review: a practical topic modelling approach to exploratory literature review|[PDF][PDF] Studying the history of ideas using topic models|1
[HTML][HTML] Smart literature review: a practical topic modelling approach to exploratory literature review|Regularized fine-grained meta face anti-spoofing|0
Topic modelling for qualitative studies|Topic modelling for short text|1
Topic modelling for qualitative studies|[PDF][PDF] A review on sentiment analysis methodologies, practices and applications|0
[PDF][PDF] A text mining research based on LDA topic modelling|[PDF][PDF] Unsupervised topic modelling for multi-party spoken discourse|1
[PDF][PDF] A text mining research based on LDA topic modelling|An original face anti-spoofing approach using partial convolutional neural network|0
'What is this corpus about?': using topic modelling to explore a specialised corpus|[PDF][PDF] Unsupervised topic modelling for multi-party spoken discourse|1
'What is this corpus about?': using topic modelling to explore a specialised corpus|Neural machine translation in linear time|0
The utility of topic modelling for discourse studies: A critical evaluation|Quantitative analysis of large amounts of journalistic texts using topic modelling|1
The utility of topic modelling for discourse studies: A critical evaluation|On disentangling spoof trace for generic face anti-spoofing|0
Topic models|The utility of topic modelling for discourse studies: A critical evaluation|1
Topic models|Evaluation measures for text summarization|0
[PDF][PDF] More efficient topic modelling through a noun only approach|Clustop: A clustering-based topic modelling algorithm for twitter using word networks|1
[PDF][PDF] More efficient topic modelling through a noun only approach|Parallel integration of vision modules|0
A bibliometric analysis of topic modelling studies (2000–2017)|Propaganda identification using topic modelling|1
A bibliometric analysis of topic modelling studies (2000–2017)|Velocity likelihoods in biological and machine vision|0
Topic modeling: a comprehensive review|A network approach to topic models|1
Topic modeling: a comprehensive review|Wikihow: A large scale text summarization dataset|0
Topic modelling meets deep neural networks: A survey|[PDF][PDF] Topic Modelling with Word Embeddings.|1
Topic modelling meets deep neural networks: A survey|Spike-based image processing: Can we reproduce biological vision in hardware?|0
[PDF][PDF] An evaluation of topic modelling techniques for twitter|[PDF][PDF] The Order of Things. A Study on Topic Modelling of Literary Texts.|1
[PDF][PDF] An evaluation of topic modelling techniques for twitter|[PDF][PDF] How does the brain solve visual object recognition?|0
[PDF][PDF] The Order of Things. A Study on Topic Modelling of Literary Texts.|Propaganda identification using topic modelling|1
[PDF][PDF] The Order of Things. A Study on Topic Modelling of Literary Texts.|A new image representation algorithm inspired by image submodality models, redundancy reduction, and learning in biological vision|0
Dynamic topic models|Topic modelling for qualitative studies|1
Dynamic topic models|Sentiment embeddings with applications to sentiment analysis|0
Scoping review of mindfulness research: A topic modelling approach|[PDF][PDF] Topic Modelling with Word Embeddings.|1
Scoping review of mindfulness research: A topic modelling approach|Does object recognition work for everyone?|0
[PDF][PDF] Topic Modelling with Word Embeddings.|Clustop: A clustering-based topic modelling algorithm for twitter using word networks|1
[PDF][PDF] Topic Modelling with Word Embeddings.|[BOOK][B] Advances in automatic text summarization|0
Software framework for topic modelling with large corpora|[PDF][PDF] A text mining research based on LDA topic modelling|1
Software framework for topic modelling with large corpora|Visual object recognition: do we know more now than we did 20 years ago?|0
Clustop: A clustering-based topic modelling algorithm for twitter using word networks|[PDF][PDF] LDA-based topic modelling in text sentiment classification: An empirical analysis.|1
Clustop: A clustering-based topic modelling algorithm for twitter using word networks|Polarization vision and its role in biological signaling|0
Propaganda identification using topic modelling|[PDF][PDF] Studying the history of ideas using topic models|1
Propaganda identification using topic modelling|Arabic named entity recognition from diverse text types|0
Visualizing topic models|Topic models|1
Visualizing topic models|[PDF][PDF] Sentiment analysis and subjectivity.|0
[PDF][PDF] Topic modelling methodology: its use in information systems and other managerial disciplines|Software framework for topic modelling with large corpora|1
[PDF][PDF] Topic modelling methodology: its use in information systems and other managerial disciplines|Multiresolution models for object detection|0
[PDF][PDF] Studying the history of ideas using topic models|[PDF][PDF] Studying the history of ideas using topic models|1
[PDF][PDF] Studying the history of ideas using topic models|[PDF][PDF] The LRC machine translation system|0
